DATE,T10Y3M,UNRATE
1982-01-01,1.6760000000000000,8.6
1982-02-01,0.14611111111111111111,8.9
1982-03-01,0.54652173913043478261,9.0
1982-04-01,0.52714285714285714286,9.3
1982-05-01,0.90850000000000000000,9.4
1982-06-01,1.2209090909090909,9.6
1982-07-01,2.0828571428571429,9.8
1982-08-01,4.0577272727272727,9.8
1982-09-01,4.1461904761904762,10.1
1982-10-01,2.9390000000000000,10.4
1982-11-01,2.2042105263157895,10.8
1982-12-01,2.3372727272727273,10.8
1983-01-01,2.3400000000000000,10.4
1983-02-01,2.3305263157894737,10.4
1983-03-01,1.8469565217391304,10.3
1983-04-01,1.8865000000000000,10.2
1983-05-01,1.8842857142857143,10.1
1983-06-01,1.7090909090909091,10.1
1983-07-01,1.9275000000000000,9.4
1983-08-01,2.1069565217391304,9.5
1983-09-01,2.2923809523809524,9.2
1983-10-01,2.5530000000000000,8.8
1983-11-01,2.5789473684210526,8.5
1983-12-01,2.4719047619047619,8.3
1984-01-01,2.4104761904761905,8.0
1984-02-01,2.3826315789473684,7.8
1984-03-01,2.4295454545454545,7.8
1984-04-01,2.5605000000000000,7.7
1984-05-01,3.1854545454545455,7.4
1984-06-01,3.3023809523809524,7.2
1984-07-01,2.8314285714285714,7.5
1984-08-01,1.8156521739130435,7.5
1984-09-01,1.7268421052631579,7.3
1984-10-01,2.0359090909090909,7.4
1984-11-01,2.6478947368421053,7.2
1984-12-01,3.1620000000000000,7.3
1985-01-01,3.3642857142857143,7.3
1985-02-01,2.9516666666666667,7.2
1985-03-01,3.0252380952380952,7.2
1985-04-01,3.2128571428571429,7.3
1985-05-01,3.1136363636363636,7.2
1985-06-01,2.9760000000000000,7.4
1985-07-01,2.9904545454545455,7.4
1985-08-01,2.9613636363636364,7.1
1985-09-01,3.0400000000000000,7.1
1985-10-01,2.8359090909090909,7.1
1985-11-01,2.3052631578947368,7.0
1985-12-01,1.9290476190476190,7.0
1986-01-01,1.8919047619047619,6.7
1986-02-01,1.4136842105263158,7.2
1986-03-01,1.01450000000000000000,7.2
1986-04-01,1.0636363636363636,7.1
1986-05-01,1.3747619047619048,7.2
1986-06-01,1.4028571428571429,7.2
1986-07-01,1.3036363636363636,7.0
1986-08-01,1.4804761904761905,6.9
1986-09-01,2.0952380952380952,7.0
1986-10-01,2.1031818181818182,7.0
1986-11-01,1.7505555555555556,6.9
1986-12-01,1.4300000000000000,6.6
1987-01-01,1.5065000000000000,6.6
1987-02-01,1.4994736842105263,6.6
1987-03-01,1.4827272727272727,6.6
1987-04-01,2.2071428571428571,6.3
1987-05-01,2.7665000000000000,6.3
1987-06-01,2.5477272727272727,6.2
1987-07-01,2.5677272727272727,6.1
1987-08-01,2.5271428571428571,6.0
1987-09-01,2.8004761904761905,5.9
1987-10-01,3.1690476190476190,6.0
1987-11-01,2.9705263157894737,5.8
1987-12-01,3.0281818181818182,5.7
