"state","year","month","births","time"
"mississippi","1933","nov",3434,1933-11-01
"missouri","1933","nov",4686,1933-11-01
"montana","1933","nov",707,1933-11-01
"nebraskaa","1933","nov",1923,1933-11-01
"nevada","1933","nov",113,1933-11-01
"new hampshire","1933","nov",526,1933-11-01
"new jersey","1933","nov",4259,1933-11-01
"new mexico","1933","nov",1020,1933-11-01
"new york","1933","nov",14345,1933-11-01
"north carolina","1933","nov",5906,1933-11-01
"north dakota","1933","nov",1058,1933-11-01
"ohio","1933","nov",7573,1933-11-01
"oklahoma","1933","nov",3911,1933-11-01
"oregon","1933","nov",978,1933-11-01
"pennsylvania","1933","nov",12516,1933-11-01
"rhode island","1933","nov",767,1933-11-01
"south carolina","1933","nov",3183,1933-11-01
"south dakota","1933","nov",1044,1933-11-01
"tennessee","1933","nov",4045,1933-11-01
"texas","1933","nov",9316,1933-11-01
"utah","1933","nov",969,1933-11-01
"vermont","1933","nov",507,1933-11-01
"virginia","1933","nov",3900,1933-11-01
"washington","1933","nov",1670,1933-11-01
"west virginia","1933","nov",2872,1933-11-01
"wisconsin","1933","nov",3837,1933-11-01
"wyoming","1933","nov",345,1933-11-01
"alabama","1933","dec",5170,1933-12-01
"alaska","1933","dec",NA,1933-12-01
"arizona","1933","dec",716,1933-12-01
"arkansas","1933","dec",2967,1933-12-01
"california","1933","dec",6465,1933-12-01
"colorado","1933","dec",1423,1933-12-01
"connecticut","1933","dec",1670,1933-12-01
"delaware","1933","dec",311,1933-12-01
"district of columbia","1933","dec",860,1933-12-01
"florida","1933","dec",2495,1933-12-01
"georgia","1933","dec",5089,1933-12-01
"hawaii","1933","dec",NA,1933-12-01
"idaho","1933","dec",712,1933-12-01
"illinois","1933","dec",9044,1933-12-01
"indiana","1933","dec",4195,1933-12-01
"iowa","1933","dec",3229,1933-12-01
"kansas","1933","dec",2733,1933-12-01
"kentucky","1933","dec",4657,1933-12-01
"louisiana","1933","dec",3360,1933-12-01
"maine","1933","dec",1195,1933-12-01
"maryland","1933","dec",2317,1933-12-01
"massachusetts","1933","dec",5103,1933-12-01
"michigan","1933","dec",6362,1933-12-01
"minnesota","1933","dec",3602,1933-12-01
"mississippi","1933","dec",3859,1933-12-01
"missouri","1933","dec",4737,1933-12-01
"montana","1933","dec",806,1933-12-01
"nebraskaa","1933","dec",2072,1933-12-01
"nevada","1933","dec",133,1933-12-01
"new hampshire","1933","dec",522,1933-12-01
"new jersey","1933","dec",4474,1933-12-01
"new mexico","1933","dec",993,1933-12-01
"new york","1933","dec",14966,1933-12-01
"north carolina","1933","dec",6217,1933-12-01
"north dakota","1933","dec",988,1933-12-01
"ohio","1933","dec",7881,1933-12-01
"oklahoma","1933","dec",3880,1933-12-01
"oregon","1933","dec",1068,1933-12-01
"pennsylvania","1933","dec",12701,1933-12-01
"rhode island","1933","dec",859,1933-12-01
"south carolina","1933","dec",3375,1933-12-01
"south dakota","1933","dec",1045,1933-12-01
"tennessee","1933","dec",4017,1933-12-01
"texas","1933","dec",9544,1933-12-01
"utah","1933","dec",977,1933-12-01
"vermont","1933","dec",439,1933-12-01
"virginia","1933","dec",3918,1933-12-01
"washington","1933","dec",1738,1933-12-01
"west virginia","1933","dec",2945,1933-12-01
"wisconsin","1933","dec",3993,1933-12-01
"wyoming","1933","dec",330,1933-12-01
"alabama","1934","jan",5687,1934-01-01
"alaska","1934","jan",NA,1934-01-01
"arizona","1934","jan",783,1934-01-01
"arkansas","1934","jan",3114,1934-01-01
"california","1934","jan",6399,1934-01-01
"colorado","1934","jan",1472,1934-01-01
"connecticut","1934","jan",1901,1934-01-01
"delaware","1934","jan",347,1934-01-01
"district of columbia","1934","jan",827,1934-01-01
"florida","1934","jan",2413,1934-01-01
"georgia","1934","jan",5555,1934-01-01
"hawaii","1934","jan",NA,1934-01-01
"idaho","1934","jan",766,1934-01-01
"illinois","1934","jan",9219,1934-01-01
"indiana","1934","jan",4259,1934-01-01
"iowa","1934","jan",3567,1934-01-01
"kansas","1934","jan",2884,1934-01-01
"kentucky","1934","jan",5328,1934-01-01
"louisiana","1934","jan",3711,1934-01-01
"maine","1934","jan",1324,1934-01-01
"maryland","1934","jan",2387,1934-01-01
"massachusetts","1934","jan",5213,1934-01-01
"michigan","1934","jan",6730,1934-01-01
"minnesota","1934","jan",3765,1934-01-01
"mississippi","1934","jan",4072,1934-01-01
"missouri","1934","jan",5069,1934-01-01
"montana","1934","jan",748,1934-01-01
"nebraskaa","1934","jan",2124,1934-01-01
"nevada","1934","jan",113,1934-01-01
"new hampshire","1934","jan",604,1934-01-01
"new jersey","1934","jan",4526,1934-01-01
"new mexico","1934","jan",1030,1934-01-01
"new york","1934","jan",15576,1934-01-01
"north carolina","1934","jan",6570,1934-01-01
"north dakota","1934","jan",1121,1934-01-01
"ohio","1934","jan",8267,1934-01-01
"oklahoma","1934","jan",4320,1934-01-01
"oregon","1934","jan",1089,1934-01-01
"pennsylvania","1934","jan",13380,1934-01-01
"rhode island","1934","jan",849,1934-01-01
"south carolina","1934","jan",3563,1934-01-01
"south dakota","1934","jan",1192,1934-01-01
"tennessee","1934","jan",4722,1934-01-01
"texas","1934","jan",10080,1934-01-01
"utah","1934","jan",1035,1934-01-01
"vermont","1934","jan",535,1934-01-01
"virginia","1934","jan",4466,1934-01-01
"washington","1934","jan",1825,1934-01-01
"west virginia","1934","jan",3524,1934-01-01
"wisconsin","1934","jan",4240,1934-01-01
"wyoming","1934","jan",407,1934-01-01
"alabama","1934","feb",5061,1934-02-01
"alaska","1934","feb",NA,1934-02-01
"arizona","1934","feb",624,1934-02-01
"arkansas","1934","feb",2957,1934-02-01
"california","1934","feb",6092,1934-02-01
"colorado","1934","feb",1377,1934-02-01
"connecticut","1934","feb",1701,1934-02-01
"delaware","1934","feb",309,1934-02-01
"district of columbia","1934","feb",788,1934-02-01
"florida","1934","feb",2146,1934-02-01
"georgia","1934","feb",4817,1934-02-01
"hawaii","1934","feb",NA,1934-02-01
"idaho","1934","feb",699,1934-02-01
"illinois","1934","feb",8403,1934-02-01
"indiana","1934","feb",4007,1934-02-01
"iowa","1934","feb",3224,1934-02-01
"kansas","1934","feb",2541,1934-02-01
"kentucky","1934","feb",4978,1934-02-01
"louisiana","1934","feb",3398,1934-02-01
"maine","1934","feb",1166,1934-02-01
"maryland","1934","feb",2097,1934-02-01
"massachusetts","1934","feb",4812,1934-02-01
"michigan","1934","feb",6274,1934-02-01
"minnesota","1934","feb",3502,1934-02-01
"mississippi","1934","feb",3801,1934-02-01
"missouri","1934","feb",4562,1934-02-01
"montana","1934","feb",743,1934-02-01
"nebraskaa","1934","feb",1861,1934-02-01
"nevada","1934","feb",104,1934-02-01
"new hampshire","1934","feb",588,1934-02-01
"new jersey","1934","feb",4260,1934-02-01
"new mexico","1934","feb",946,1934-02-01
"new york","1934","feb",14358,1934-02-01
"north carolina","1934","feb",5848,1934-02-01
"north dakota","1934","feb",1112,1934-02-01
"ohio","1934","feb",7630,1934-02-01
"oklahoma","1934","feb",3728,1934-02-01
"oregon","1934","feb",1034,1934-02-01
"pennsylvania","1934","feb",12205,1934-02-01
"rhode island","1934","feb",789,1934-02-01
"south carolina","1934","feb",3149,1934-02-01
"south dakota","1934","feb",1048,1934-02-01
"tennessee","1934","feb",4237,1934-02-01
"texas","1934","feb",8889,1934-02-01
"utah","1934","feb",906,1934-02-01
"vermont","1934","feb",489,1934-02-01
"virginia","1934","feb",4138,1934-02-01
"washington","1934","feb",1678,1934-02-01
"west virginia","1934","feb",3188,1934-02-01
"wisconsin","1934","feb",3904,1934-02-01
"wyoming","1934","feb",284,1934-02-01
"alabama","1934","mar",5441,1934-03-01
"alaska","1934","mar",NA,1934-03-01
"arizona","1934","mar",702,1934-03-01
"arkansas","1934","mar",2935,1934-03-01
"california","1934","mar",6607,1934-03-01
"colorado","1934","mar",1442,1934-03-01
"connecticut","1934","mar",1857,1934-03-01
"delaware","1934","mar",328,1934-03-01
"district of columbia","1934","mar",793,1934-03-01
"florida","1934","mar",2164,1934-03-01
"georgia","1934","mar",5623,1934-03-01
"hawaii","1934","mar",NA,1934-03-01
"idaho","1934","mar",792,1934-03-01
"illinois","1934","mar",8766,1934-03-01
"indiana","1934","mar",4219,1934-03-01
"iowa","1934","mar",3503,1934-03-01
"kansas","1934","mar",2668,1934-03-01
"kentucky","1934","mar",5044,1934-03-01
"louisiana","1934","mar",3590,1934-03-01
"maine","1934","mar",1376,1934-03-01
"maryland","1934","mar",2184,1934-03-01
"massachusetts","1934","mar",5365,1934-03-01
"michigan","1934","mar",6937,1934-03-01
"minnesota","1934","mar",4002,1934-03-01
"mississippi","1934","mar",3805,1934-03-01
"missouri","1934","mar",4752,1934-03-01
"montana","1934","mar",880,1934-03-01
"nebraskaa","1934","mar",2070,1934-03-01
"nevada","1934","mar",132,1934-03-01
"new hampshire","1934","mar",677,1934-03-01
"new jersey","1934","mar",4459,1934-03-01
"new mexico","1934","mar",1109,1934-03-01
"new york","1934","mar",15691,1934-03-01
"north carolina","1934","mar",6302,1934-03-01
"north dakota","1934","mar",1227,1934-03-01
"ohio","1934","mar",7794,1934-03-01
"oklahoma","1934","mar",3794,1934-03-01
"oregon","1934","mar",1127,1934-03-01
"pennsylvania","1934","mar",13181,1934-03-01
"rhode island","1934","mar",830,1934-03-01
"south carolina","1934","mar",3389,1934-03-01
"south dakota","1934","mar",1167,1934-03-01
"tennessee","1934","mar",4297,1934-03-01
"texas","1934","mar",9671,1934-03-01
"utah","1934","mar",1048,1934-03-01
"vermont","1934","mar",627,1934-03-01
"virginia","1934","mar",4494,1934-03-01
"washington","1934","mar",1893,1934-03-01
"west virginia","1934","mar",3561,1934-03-01
"wisconsin","1934","mar",4359,1934-03-01
"wyoming","1934","mar",391,1934-03-01
"alabama","1934","apr",5172,1934-04-01
"alaska","1934","apr",NA,1934-04-01
"arizona","1934","apr",602,1934-04-01
"arkansas","1934","apr",2663,1934-04-01
"california","1934","apr",6182,1934-04-01
"colorado","1934","apr",1427,1934-04-01
"connecticut","1934","apr",1744,1934-04-01
"delaware","1934","apr",334,1934-04-01
"district of columbia","1934","apr",786,1934-04-01
"florida","1934","apr",1916,1934-04-01
"georgia","1934","apr",5437,1934-04-01
"hawaii","1934","apr",NA,1934-04-01
"idaho","1934","apr",757,1934-04-01
"illinois","1934","apr",8228,1934-04-01
"indiana","1934","apr",3815,1934-04-01
"iowa","1934","apr",3428,1934-04-01
"kansas","1934","apr",2341,1934-04-01
"kentucky","1934","apr",4639,1934-04-01
"louisiana","1934","apr",3006,1934-04-01
"maine","1934","apr",1352,1934-04-01
"maryland","1934","apr",2084,1934-04-01
"massachusetts","1934","apr",5121,1934-04-01
"michigan","1934","apr",6675,1934-04-01
"minnesota","1934","apr",3642,1934-04-01
"mississippi","1934","apr",3676,1934-04-01
"missouri","1934","apr",4109,1934-04-01
"montana","1934","apr",817,1934-04-01
"nebraskaa","1934","apr",1893,1934-04-01
"nevada","1934","apr",98,1934-04-01
"new hampshire","1934","apr",682,1934-04-01
"new jersey","1934","apr",4224,1934-04-01
"new mexico","1934","apr",1037,1934-04-01
"new york","1934","apr",15115,1934-04-01
"north carolina","1934","apr",6649,1934-04-01
"north dakota","1934","apr",1197,1934-04-01
"ohio","1934","apr",7533,1934-04-01
"oklahoma","1934","apr",3344,1934-04-01
"oregon","1934","apr",1024,1934-04-01
"pennsylvania","1934","apr",12361,1934-04-01
"rhode island","1934","apr",770,1934-04-01
"south carolina","1934","apr",3829,1934-04-01
"south dakota","1934","apr",1060,1934-04-01
"tennessee","1934","apr",4227,1934-04-01
"texas","1934","apr",8131,1934-04-01
"utah","1934","apr",1064,1934-04-01
"vermont","1934","apr",542,1934-04-01
"virginia","1934","apr",4211,1934-04-01
"washington","1934","apr",1869,1934-04-01
"west virginia","1934","apr",3300,1934-04-01
"wisconsin","1934","apr",4175,1934-04-01
"wyoming","1934","apr",383,1934-04-01
"alabama","1934","may",5189,1934-05-01
"alaska","1934","may",NA,1934-05-01
"arizona","1934","may",632,1934-05-01
"arkansas","1934","may",2929,1934-05-01
"california","1934","may",6380,1934-05-01
"colorado","1934","may",1524,1934-05-01
"connecticut","1934","may",1891,1934-05-01
"delaware","1934","may",332,1934-05-01
"district of columbia","1934","may",765,1934-05-01
"florida","1934","may",1890,1934-05-01
"georgia","1934","may",5313,1934-05-01
"hawaii","1934","may",NA,1934-05-01
"idaho","1934","may",754,1934-05-01
"illinois","1934","may",9286,1934-05-01
"indiana","1934","may",4320,1934-05-01
"iowa","1934","may",3699,1934-05-01
"kansas","1934","may",2522,1934-05-01
"kentucky","1934","may",5076,1934-05-01
"louisiana","1934","may",2787,1934-05-01
"maine","1934","may",1377,1934-05-01
"maryland","1934","may",2181,1934-05-01
"massachusetts","1934","may",5532,1934-05-01
"michigan","1934","may",7389,1934-05-01
"minnesota","1934","may",4113,1934-05-01
"mississippi","1934","may",3763,1934-05-01
"missouri","1934","may",4714,1934-05-01
"montana","1934","may",866,1934-05-01
"nebraskaa","1934","may",2094,1934-05-01
"nevada","1934","may",109,1934-05-01
"new hampshire","1934","may",657,1934-05-01
"new jersey","1934","may",4453,1934-05-01
"new mexico","1934","may",1141,1934-05-01
"new york","1934","may",15769,1934-05-01
"north carolina","1934","may",6994,1934-05-01
"north dakota","1934","may",1353,1934-05-01
"ohio","1934","may",8436,1934-05-01
"oklahoma","1934","may",3342,1934-05-01
"oregon","1934","may",1081,1934-05-01
"pennsylvania","1934","may",13167,1934-05-01
"rhode island","1934","may",856,1934-05-01
"south carolina","1934","may",3747,1934-05-01
"south dakota","1934","may",1041,1934-05-01
"tennessee","1934","may",4555,1934-05-01
"texas","1934","may",8323,1934-05-01
"utah","1934","may",1050,1934-05-01
"vermont","1934","may",602,1934-05-01
"virginia","1934","may",4502,1934-05-01
"washington","1934","may",1956,1934-05-01
"west virginia","1934","may",3595,1934-05-01
"wisconsin","1934","may",4607,1934-05-01
"wyoming","1934","may",367,1934-05-01
"alabama","1934","jun",4752,1934-06-01
"alaska","1934","jun",NA,1934-06-01
"arizona","1934","jun",686,1934-06-01
"arkansas","1934","jun",2644,1934-06-01
"california","1934","jun",6417,1934-06-01
"colorado","1934","jun",1468,1934-06-01
"connecticut","1934","jun",1899,1934-06-01
"delaware","1934","jun",322,1934-06-01
"district of columbia","1934","jun",882,1934-06-01
"florida","1934","jun",1620,1934-06-01
"georgia","1934","jun",4965,1934-06-01
"hawaii","1934","jun",NA,1934-06-01
"idaho","1934","jun",770,1934-06-01
"illinois","1934","jun",9446,1934-06-01
"indiana","1934","jun",4320,1934-06-01
"iowa","1934","jun",3465,1934-06-01
"kansas","1934","jun",2567,1934-06-01
"kentucky","1934","jun",4946,1934-06-01
"louisiana","1934","jun",2707,1934-06-01
"maine","1934","jun",1367,1934-06-01
"maryland","1934","jun",2311,1934-06-01
"massachusetts","1934","jun",5324,1934-06-01
"michigan","1934","jun",7196,1934-06-01
"minnesota","1934","jun",3769,1934-06-01
"mississippi","1934","jun",3467,1934-06-01
"missouri","1934","jun",4611,1934-06-01
"montana","1934","jun",829,1934-06-01
"nebraskaa","1934","jun",2050,1934-06-01
"nevada","1934","jun",129,1934-06-01
"new hampshire","1934","jun",644,1934-06-01
"new jersey","1934","jun",4562,1934-06-01
"new mexico","1934","jun",1071,1934-06-01
"new york","1934","jun",15843,1934-06-01
"north carolina","1934","jun",6517,1934-06-01
"north dakota","1934","jun",1200,1934-06-01
"ohio","1934","jun",8513,1934-06-01
"oklahoma","1934","jun",3441,1934-06-01
"oregon","1934","jun",1108,1934-06-01
"pennsylvania","1934","jun",13384,1934-06-01
"rhode island","1934","jun",867,1934-06-01
"south carolina","1934","jun",3524,1934-06-01
"south dakota","1934","jun",1045,1934-06-01
"tennessee","1934","jun",4377,1934-06-01
"texas","1934","jun",8090,1934-06-01
"utah","1934","jun",1049,1934-06-01
"vermont","1934","jun",554,1934-06-01
"virginia","1934","jun",4322,1934-06-01
"washington","1934","jun",1847,1934-06-01
"west virginia","1934","jun",3425,1934-06-01
"wisconsin","1934","jun",4356,1934-06-01
"wyoming","1934","jun",376,1934-06-01
"alabama","1934","july",5169,1934-07-01
"alaska","1934","july",NA,1934-07-01
"arizona","1934","july",638,1934-07-01
"arkansas","1934","july",3042,1934-07-01
"california","1934","july",6698,1934-07-01
"colorado","1934","july",1483,1934-07-01
"connecticut","1934","july",2025,1934-07-01
"delaware","1934","july",358,1934-07-01
"district of columbia","1934","july",854,1934-07-01
"florida","1934","july",1938,1934-07-01
"georgia","1934","july",5450,1934-07-01
"hawaii","1934","july",NA,1934-07-01
"idaho","1934","july",776,1934-07-01
"illinois","1934","july",9860,1934-07-01
"indiana","1934","july",4829,1934-07-01
"iowa","1934","july",3754,1934-07-01
"kansas","1934","july",2802,1934-07-01
"kentucky","1934","july",4937,1934-07-01
"louisiana","1934","july",3362,1934-07-01
"maine","1934","july",1438,1934-07-01
"maryland","1934","july",2445,1934-07-01
"massachusetts","1934","july",5714,1934-07-01
"michigan","1934","july",7561,1934-07-01
"minnesota","1934","july",3982,1934-07-01
"mississippi","1934","july",3951,1934-07-01
"missouri","1934","july",5085,1934-07-01
"montana","1934","july",857,1934-07-01
"nebraskaa","1934","july",2191,1934-07-01
"nevada","1934","july",117,1934-07-01
"new hampshire","1934","july",706,1934-07-01
"new jersey","1934","july",5018,1934-07-01
"new mexico","1934","july",1030,1934-07-01
"new york","1934","july",16678,1934-07-01
"north carolina","1934","july",6850,1934-07-01
"north dakota","1934","july",1310,1934-07-01
"ohio","1934","july",9066,1934-07-01
"oklahoma","1934","july",4049,1934-07-01
"oregon","1934","july",1093,1934-07-01
"pennsylvania","1934","july",14339,1934-07-01
"rhode island","1934","july",957,1934-07-01
"south carolina","1934","july",3875,1934-07-01
"south dakota","1934","july",1078,1934-07-01
"tennessee","1934","july",4268,1934-07-01
"texas","1934","july",9514,1934-07-01
"utah","1934","july",1126,1934-07-01
"vermont","1934","july",611,1934-07-01
"virginia","1934","july",4446,1934-07-01
"washington","1934","july",1946,1934-07-01
"west virginia","1934","july",3538,1934-07-01
"wisconsin","1934","july",4568,1934-07-01
"wyoming","1934","july",386,1934-07-01
"alabama","1934","aug",5743,1934-08-01
"alaska","1934","aug",NA,1934-08-01
"arizona","1934","aug",736,1934-08-01
"arkansas","1934","aug",3578,1934-08-01
"california","1934","aug",6985,1934-08-01
"colorado","1934","aug",1595,1934-08-01
"connecticut","1934","aug",1925,1934-08-01
"delaware","1934","aug",345,1934-08-01
"district of columbia","1934","aug",879,1934-08-01
"florida","1934","aug",2437,1934-08-01
"georgia","1934","aug",5858,1934-08-01
"hawaii","1934","aug",NA,1934-08-01
"idaho","1934","aug",798,1934-08-01
"illinois","1934","aug",10069,1934-08-01
"indiana","1934","aug",4663,1934-08-01
"iowa","1934","aug",3690,1934-08-01
"kansas","1934","aug",2956,1934-08-01
"kentucky","1934","aug",5243,1934-08-01
"louisiana","1934","aug",4133,1934-08-01
"maine","1934","aug",1384,1934-08-01
"maryland","1934","aug",2532,1934-08-01
"massachusetts","1934","aug",5715,1934-08-01
"michigan","1934","aug",7393,1934-08-01
"minnesota","1934","aug",4029,1934-08-01
"mississippi","1934","aug",4617,1934-08-01
"missouri","1934","aug",5479,1934-08-01
"montana","1934","aug",921,1934-08-01
"nebraskaa","1934","aug",2250,1934-08-01
"nevada","1934","aug",151,1934-08-01
"new hampshire","1934","aug",736,1934-08-01
"new jersey","1934","aug",4932,1934-08-01
"new mexico","1934","aug",1092,1934-08-01
"new york","1934","aug",15978,1934-08-01
"north carolina","1934","aug",7329,1934-08-01
"north dakota","1934","aug",1307,1934-08-01
"ohio","1934","aug",8905,1934-08-01
"oklahoma","1934","aug",4353,1934-08-01
"oregon","1934","aug",1160,1934-08-01
"pennsylvania","1934","aug",14549,1934-08-01
"rhode island","1934","aug",964,1934-08-01
"south carolina","1934","aug",4155,1934-08-01
"south dakota","1934","aug",1091,1934-08-01
"tennessee","1934","aug",4556,1934-08-01
"texas","1934","aug",11083,1934-08-01
"utah","1934","aug",1129,1934-08-01
"vermont","1934","aug",557,1934-08-01
"virginia","1934","aug",4666,1934-08-01
"washington","1934","aug",1992,1934-08-01
"west virginia","1934","aug",3793,1934-08-01
"wisconsin","1934","aug",4557,1934-08-01
"wyoming","1934","aug",405,1934-08-01
"alabama","1934","sep",5866,1934-09-01
"alaska","1934","sep",NA,1934-09-01
"arizona","1934","sep",776,1934-09-01
"arkansas","1934","sep",3647,1934-09-01
"california","1934","sep",6611,1934-09-01
"colorado","1934","sep",1565,1934-09-01
"connecticut","1934","sep",1823,1934-09-01
"delaware","1934","sep",355,1934-09-01
"district of columbia","1934","sep",888,1934-09-01
"florida","1934","sep",2561,1934-09-01
"georgia","1934","sep",5972,1934-09-01
"hawaii","1934","sep",NA,1934-09-01
"idaho","1934","sep",843,1934-09-01
"illinois","1934","sep",9499,1934-09-01
"indiana","1934","sep",4746,1934-09-01
"iowa","1934","sep",3765,1934-09-01
"kansas","1934","sep",2859,1934-09-01
"kentucky","1934","sep",5225,1934-09-01
"louisiana","1934","sep",4373,1934-09-01
"maine","1934","sep",1243,1934-09-01
"maryland","1934","sep",2351,1934-09-01
"massachusetts","1934","sep",5445,1934-09-01
"michigan","1934","sep",7146,1934-09-01
"minnesota","1934","sep",3845,1934-09-01
"mississippi","1934","sep",4691,1934-09-01
"missouri","1934","sep",5334,1934-09-01
"montana","1934","sep",860,1934-09-01
"nebraskaa","1934","sep",2113,1934-09-01
"nevada","1934","sep",113,1934-09-01
"new hampshire","1934","sep",682,1934-09-01
"new jersey","1934","sep",4560,1934-09-01
"new mexico","1934","sep",1112,1934-09-01
"new york","1934","sep",15572,1934-09-01
"north carolina","1934","sep",7500,1934-09-01
"north dakota","1934","sep",1257,1934-09-01
"ohio","1934","sep",8890,1934-09-01
"oklahoma","1934","sep",4505,1934-09-01
"oregon","1934","sep",1093,1934-09-01
"pennsylvania","1934","sep",13961,1934-09-01
"rhode island","1934","sep",863,1934-09-01
"south carolina","1934","sep",4272,1934-09-01
"south dakota","1934","sep",1192,1934-09-01
"tennessee","1934","sep",4665,1934-09-01
"texas","1934","sep",11107,1934-09-01
"utah","1934","sep",1119,1934-09-01
"vermont","1934","sep",529,1934-09-01
"virginia","1934","sep",4708,1934-09-01
"washington","1934","sep",1897,1934-09-01
"west virginia","1934","sep",3671,1934-09-01
"wisconsin","1934","sep",4326,1934-09-01
"wyoming","1934","sep",416,1934-09-01
"alabama","1934","oct",5501,1934-10-01
"alaska","1934","oct",NA,1934-10-01
"arizona","1934","oct",745,1934-10-01
"arkansas","1934","oct",3566,1934-10-01
"california","1934","oct",6725,1934-10-01
"colorado","1934","oct",1520,1934-10-01
"connecticut","1934","oct",1875,1934-10-01
"delaware","1934","oct",312,1934-10-01
"district of columbia","1934","oct",891,1934-10-01
"florida","1934","oct",2540,1934-10-01
"georgia","1934","oct",5639,1934-10-01
"hawaii","1934","oct",NA,1934-10-01
"idaho","1934","oct",854,1934-10-01
"illinois","1934","oct",9620,1934-10-01
"indiana","1934","oct",4661,1934-10-01
"iowa","1934","oct",3518,1934-10-01
"kansas","1934","oct",2935,1934-10-01
"kentucky","1934","oct",5091,1934-10-01
"louisiana","1934","oct",4254,1934-10-01
"maine","1934","oct",1299,1934-10-01
"maryland","1934","oct",2221,1934-10-01
"massachusetts","1934","oct",5259,1934-10-01
"michigan","1934","oct",7049,1934-10-01
"minnesota","1934","oct",3870,1934-10-01
"mississippi","1934","oct",4317,1934-10-01
"missouri","1934","oct",5369,1934-10-01
"montana","1934","oct",844,1934-10-01
"nebraskaa","1934","oct",2257,1934-10-01
"nevada","1934","oct",121,1934-10-01
"new hampshire","1934","oct",644,1934-10-01
"new jersey","1934","oct",4639,1934-10-01
"new mexico","1934","oct",1077,1934-10-01
"new york","1934","oct",15342,1934-10-01
"north carolina","1934","oct",6892,1934-10-01
"north dakota","1934","oct",1219,1934-10-01
"ohio","1934","oct",8564,1934-10-01
"oklahoma","1934","oct",4289,1934-10-01
"oregon","1934","oct",1094,1934-10-01
"pennsylvania","1934","oct",13557,1934-10-01
"rhode island","1934","oct",868,1934-10-01
"south carolina","1934","oct",3923,1934-10-01
"south dakota","1934","oct",1191,1934-10-01
"tennessee","1934","oct",4466,1934-10-01
"texas","1934","oct",11122,1934-10-01
"utah","1934","oct",1098,1934-10-01
"vermont","1934","oct",521,1934-10-01
"virginia","1934","oct",4451,1934-10-01
"washington","1934","oct",1925,1934-10-01
"west virginia","1934","oct",3417,1934-10-01
"wisconsin","1934","oct",4236,1934-10-01
"wyoming","1934","oct",378,1934-10-01
"alabama","1934","nov",4954,1934-11-01
"alaska","1934","nov",NA,1934-11-01
"arizona","1934","nov",778,1934-11-01
"arkansas","1934","nov",3233,1934-11-01
"california","1934","nov",6513,1934-11-01
"colorado","1934","nov",1454,1934-11-01
"connecticut","1934","nov",1736,1934-11-01
"delaware","1934","nov",321,1934-11-01
"district of columbia","1934","nov",857,1934-11-01
"florida","1934","nov",2592,1934-11-01
"georgia","1934","nov",4994,1934-11-01
"hawaii","1934","nov",NA,1934-11-01
"idaho","1934","nov",771,1934-11-01
"illinois","1934","nov",9007,1934-11-01
"indiana","1934","nov",4243,1934-11-01
"iowa","1934","nov",3356,1934-11-01
"kansas","1934","nov",2676,1934-11-01
"kentucky","1934","nov",4677,1934-11-01
"louisiana","1934","nov",3893,1934-11-01
"maine","1934","nov",1216,1934-11-01
"maryland","1934","nov",2264,1934-11-01
"massachusetts","1934","nov",4979,1934-11-01
"michigan","1934","nov",6731,1934-11-01
"minnesota","1934","nov",3752,1934-11-01
"mississippi","1934","nov",3815,1934-11-01
"missouri","1934","nov",4973,1934-11-01
"montana","1934","nov",814,1934-11-01
"nebraskaa","1934","nov",2036,1934-11-01
"nevada","1934","nov",122,1934-11-01
"new hampshire","1934","nov",613,1934-11-01
"new jersey","1934","nov",4303,1934-11-01
"new mexico","1934","nov",1063,1934-11-01
"new york","1934","nov",14638,1934-11-01
"north carolina","1934","nov",6199,1934-11-01
"north dakota","1934","nov",1147,1934-11-01
"ohio","1934","nov",8197,1934-11-01
"oklahoma","1934","nov",4024,1934-11-01
"oregon","1934","nov",1068,1934-11-01
"pennsylvania","1934","nov",12807,1934-11-01
"rhode island","1934","nov",864,1934-11-01
"south carolina","1934","nov",3318,1934-11-01
"south dakota","1934","nov",1036,1934-11-01
"tennessee","1934","nov",4049,1934-11-01
"texas","1934","nov",10313,1934-11-01
"utah","1934","nov",1014,1934-11-01
"vermont","1934","nov",547,1934-11-01
"virginia","1934","nov",3965,1934-11-01
"washington","1934","nov",1867,1934-11-01
"west virginia","1934","nov",3249,1934-11-01
"wisconsin","1934","nov",4056,1934-11-01
"wyoming","1934","nov",387,1934-11-01
"alabama","1934","dec",4960,1934-12-01
"alaska","1934","dec",NA,1934-12-01
"arizona","1934","dec",790,1934-12-01
"arkansas","1934","dec",3207,1934-12-01
"california","1934","dec",6737,1934-12-01
"colorado","1934","dec",1522,1934-12-01
"connecticut","1934","dec",1838,1934-12-01
"delaware","1934","dec",325,1934-12-01
"district of columbia","1934","dec",927,1934-12-01
"florida","1934","dec",2499,1934-12-01
"georgia","1934","dec",5038,1934-12-01
"hawaii","1934","dec",NA,1934-12-01
"idaho","1934","dec",793,1934-12-01
"illinois","1934","dec",8823,1934-12-01
"indiana","1934","dec",4267,1934-12-01
"iowa","1934","dec",3494,1934-12-01
"kansas","1934","dec",2712,1934-12-01
"kentucky","1934","dec",4720,1934-12-01
"louisiana","1934","dec",3789,1934-12-01
"maine","1934","dec",1218,1934-12-01
"maryland","1934","dec",2283,1934-12-01
"massachusetts","1934","dec",5349,1934-12-01
"michigan","1934","dec",6844,1934-12-01
